"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","55_64","PC_AGE","A","2017",63.58626,
"AUS","EMPAGE","55_64","PC_AGE","A","2018",63.81186,
"AUS","EMPAGE","55_64","PC_AGE","A","2019",64.47564,
"AUS","EMPAGE","55_64","PC_AGE","A","2020",63.63336,
"AUT","EMPAGE","15_24","PC_AGE","A","1999",56.3,
"AUT","EMPAGE","15_24","PC_AGE","A","2000",52.55,
"AUT","EMPAGE","15_24","PC_AGE","A","2001",51.375,
"AUT","EMPAGE","15_24","PC_AGE","A","2002",51.675,
"AUT","EMPAGE","15_24","PC_AGE","A","2003",51.125,"B"
"AUT","EMPAGE","15_24","PC_AGE","A","2004",50.75,"B"
"AUT","EMPAGE","15_24","PC_AGE","A","2005",51.625,
"AUT","EMPAGE","15_24","PC_AGE","A","2006",52.25,"B"
"AUT","EMPAGE","15_24","PC_AGE","A","2007",53.825,
"AUT","EMPAGE","15_24","PC_AGE","A","2008",54.45,
"AUT","EMPAGE","15_24","PC_AGE","A","2009",53.15,
"AUT","EMPAGE","15_24","PC_AGE","A","2010",52.75,
"AUT","EMPAGE","15_24","PC_AGE","A","2011",53.9,
"AUT","EMPAGE","15_24","PC_AGE","A","2012",53.675,
"AUT","EMPAGE","15_24","PC_AGE","A","2013",53.075,
"AUT","EMPAGE","15_24","PC_AGE","A","2014",52.05,
"AUT","EMPAGE","15_24","PC_AGE","A","2015",51.375,
"AUT","EMPAGE","15_24","PC_AGE","A","2016",51,
"AUT","EMPAGE","15_24","PC_AGE","A","2017",50.575,
"AUT","EMPAGE","15_24","PC_AGE","A","2018",51.35,
"AUT","EMPAGE","15_24","PC_AGE","A","2019",51.625,
"AUT","EMPAGE","15_24","PC_AGE","A","2020",50.25,"B"
"AUT","EMPAGE","25_54","PC_AGE","A","1999",81.8,
"AUT","EMPAGE","25_54","PC_AGE","A","2000",82.625,
"AUT","EMPAGE","25_54","PC_AGE","A","2001",82.75,
"AUT","EMPAGE","25_54","PC_AGE","A","2002",83.6,
"AUT","EMPAGE","25_54","PC_AGE","A","2003",84.025,"B"
"AUT","EMPAGE","25_54","PC_AGE","A","2004",81.425,"B"
"AUT","EMPAGE","25_54","PC_AGE","A","2005",81.55,
"AUT","EMPAGE","25_54","PC_AGE","A","2006",82.175,"B"
"AUT","EMPAGE","25_54","PC_AGE","A","2007",82.875,
"AUT","EMPAGE","25_54","PC_AGE","A","2008",83.4,
"AUT","EMPAGE","25_54","PC_AGE","A","2009",82.875,
"AUT","EMPAGE","25_54","PC_AGE","A","2010",83.325,
"AUT","EMPAGE","25_54","PC_AGE","A","2011",84.1,
"AUT","EMPAGE","25_54","PC_AGE","A","2012",84.325,
"AUT","EMPAGE","25_54","PC_AGE","A","2013",84,
"AUT","EMPAGE","25_54","PC_AGE","A","2014",83.45,
"AUT","EMPAGE","25_54","PC_AGE","A","2015",83.475,
"AUT","EMPAGE","25_54","PC_AGE","A","2016",83.575,
"AUT","EMPAGE","25_54","PC_AGE","A","2017",84.1,
"AUT","EMPAGE","25_54","PC_AGE","A","2018",84.55,
"AUT","EMPAGE","25_54","PC_AGE","A","2019",85.3,
"AUT","EMPAGE","25_54","PC_AGE","A","2020",83.875,"B"
"AUT","EMPAGE","55_64","PC_AGE","A","1999",27.65,
"AUT","EMPAGE","55_64","PC_AGE","A","2000",28.85,
"AUT","EMPAGE","55_64","PC_AGE","A","2001",28.675,
"AUT","EMPAGE","55_64","PC_AGE","A","2002",29.075,
"AUT","EMPAGE","55_64","PC_AGE","A","2003",30.275,"B"
"AUT","EMPAGE","55_64","PC_AGE","A","2004",27.15,"B"
"AUT","EMPAGE","55_64","PC_AGE","A","2005",29.95,
"AUT","EMPAGE","55_64","PC_AGE","A","2006",32.975,"B"
"AUT","EMPAGE","55_64","PC_AGE","A","2007",35.95,
"AUT","EMPAGE","55_64","PC_AGE","A","2008",38.8,
"AUT","EMPAGE","55_64","PC_AGE","A","2009",39.425,
"AUT","EMPAGE","55_64","PC_AGE","A","2010",41.175,
"AUT","EMPAGE","55_64","PC_AGE","A","2011",39.925,
"AUT","EMPAGE","55_64","PC_AGE","A","2012",41.6,
"AUT","EMPAGE","55_64","PC_AGE","A","2013",43.75,
"AUT","EMPAGE","55_64","PC_AGE","A","2014",45.1,
"AUT","EMPAGE","55_64","PC_AGE","A","2015",46.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2016",49.175,
"AUT","EMPAGE","55_64","PC_AGE","A","2017",51.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2018",53.975,
"AUT","EMPAGE","55_64","PC_AGE","A","2019",54.475,
"AUT","EMPAGE","55_64","PC_AGE","A","2020",54.7,"B"
